trainid,author,status
66,Justin Trudeau,"This afternoon, I met with Vietnam’s Secretary General of the Communist Party, Nguyễn Phú Trọng, to build on the st… https://t.co/HabTaRgnyo"
67,Justin Trudeau,"On est en route vers Hanoï pour une semaine chargée au Vietnam et aux Philippines axée sur l’ APEC, le commerce et les droits de la personne"
68,Donald J. Trump,"Wacky &amp; totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!"
69,Justin Trudeau,"RT @cathmckenna: 13 year old @StellaBowles saw a problem, and decided to fix it. Who else is inspired after hearing her story? https://t.co…"
70,Justin Trudeau,"Merci à Nguyen Cong Hiep, du consulat canadien, pour m’avoir fait découvrir les rues de Hô Chi Minh-Ville aujourd’h… https://t.co/Lq6rwoABEP"
71,Donald J. Trump,"Great day of bilateral meetings at #ASEANSummit on trade, which we are turning around to be great deals for our cou… https://t.co/n7g7Zvo9pl"
72,Justin Trudeau,La police se met en danger pour nous protéger. Mes sincères condoléances à la famille de l’agent @AbbyPoliceDept tué en faisant son devoir.
73,Donald J. Trump,Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!
74,Justin Trudeau,Discussing the jobs &amp; opportunities AI creates with tech leaders at #GoNorth17. Thanks for sharing your ideas and i… https://t.co/dUDKyaz5H3
75,Justin Trudeau,"Today, we join Sikhs in Canada &amp; around the world to celebrate the birth of Guru Nanak Dev Ji: https://t.co/uXOTPsLNSW"
76,Justin Trudeau,#APEC2017 https://t.co/0IH566mAh7
77,Justin Trudeau,Day 2 in Vietnam! Opening trading at the Ho Chi Minh City Stock Exchange. https://t.co/3rscbV5PyN
78,Donald J. Trump,Thank you @LuisRiveraMarin! https://t.co/BK7sDv9phU
79,Donald J. Trump,Thanks to @SenateMajLdr McConnell and the @SenateGOP we are appointing high-quality Federal District...
80,Justin Trudeau,"Les entrepreneurs font croître l’économie, renforcent la classe moyenne et créent de l’emploi ici et dans le monde.… https://t.co/TYHEKdHMBH"
81,Donald J. Trump,"""Clinton campaign &amp; DNC paid for research that led to the anti-Trump Fake News Dossier. The victim here is the President."" @FoxNews"
82,Donald J. Trump,Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pea… https://t.co/Yr6OZitxGR
83,Justin Trudeau,RT @RoyalCdnLegion: #Merci vétérans pour votre service. Faites la pause 2 minutes pour penser et #VousSouvenir : https://t.co/Hs6rzOl1Zr  #…
84,Donald J. Trump,"Happy #FirstRespondersDay to all of our HEROES out there. We are forever grateful to you for your service, sacrific… https://t.co/UpEh9uZ9fu"
85,Donald J. Trump,"After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States h… https://t.co/MoMNa1MUI3"
86,Donald J. Trump,"My visit to Japan and friendship with PM Abe will yield many benefits, for our great Country. Massive military &amp; energy orders happening+++!"
87,Donald J. Trump,"Just landed in Da Nang, Vietnam to deliver a speech at #APEC2017"
88,Donald J. Trump,...Americans do what we do best: we pull together. We join hands. We lock arms and through the tears and the sadnes… https://t.co/CTtTeWjVHX
89,Justin Trudeau,"Cet après-midi, j’ai rencontré Nguyễn Phú Trọng, secrétaire général du Parti communiste du Vietnam, pour resserrer… https://t.co/mOWeTsdPWJ"
90,Donald J. Trump,"The North Korean regime has pursued its nuclear &amp; ballistic missile programs in defiance of every assurance, agreem… https://t.co/J7WklThu2q"
91,Donald J. Trump,Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hope… https://t.co/TYNkL929s6
92,Donald J. Trump,"Happy birthday to @garyplayer, a truly great Champion and Person!"
93,Justin Trudeau,RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…
94,Donald J. Trump,#JFKFiles https://t.co/AnPBSJFh3J
95,Justin Trudeau,"At the Ton Duc Thang University, speaking with students about growing our economies and getting the most out of the… https://t.co/W14aVTXPPf"
96,Donald J. Trump,"Never seen such Republican ANGER &amp; UNITY as I have concerning the lack of investigation on Clinton made Fake Dossier (now $12,000,000?),...."
97,Justin Trudeau,"I also sat down with the Chair of the National Assembly, Nguyễn Thị Kim Ngân, to talk about promoting the rights of… https://t.co/uLLW10B5oF"
98,Donald J. Trump,"....Also, there is NO COLLUSION!"
99,Donald J. Trump,We are inspired by the stories of everyday heroes who pull their communities from the depths of despair through lea… https://t.co/QsxRShJWmQ
100,Justin Trudeau,"Bonne discussion ce matin avec notre ambassadrice désignée pour la France @HudonIsabelle sur le commerce, l'égalité… https://t.co/iqjGwOhXt0"
101,Justin Trudeau,Next stop: Da Nang for #APEC2017. Here’s a recap of my visit so far: https://t.co/4MZWpfgN6t
102,Donald J. Trump,Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!
103,Justin Trudeau,"La semaine prochaine, j’irai au Vietnam et aux Philippines pour rencontrer nos partenaires de l’Asie-Pacifique: https://t.co/yvDneOuuOe"
104,Justin Trudeau,RT @cafreeland: Asia-Pacific is a critical engine for the global economy. Working on trade and security in this dynamic region. #APEC2017 h…
105,Justin Trudeau,"Talking trade, gender equality &amp; climate change with Canada’s Ambassador-designate to France, @HudonIsabelle, this… https://t.co/idGywGyQ6T"
106,Donald J. Trump,"""Consumer Confidence Hits Highest Level Since December 2000"" Read more: https://t.co/w7WkcobFun https://t.co/nLo5XCnuIx"
107,Justin Trudeau,"Une première rencontre fructueuse, autour du commerce et de notre collaboration afin de créer plus d’emplois et de… https://t.co/yvurolUuTb"
108,Justin Trudeau,Célébration du 50e anniversaire de l’#ANASE en compagnie du président Duterte et de nos alliés avant le sommet de d… https://t.co/Xhsn7O0fiW
109,Justin Trudeau,RT @janephilpott: Aboriginal Veterans Day was first observed in 1994 to honour the contributions and sacrifices that Indigenous peoples hav…
110,Donald J. Trump,"...New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus..."
111,Donald J. Trump,Would love to send the NYC terrorist to Guantanamo but statistically that process takes much longer than going through the Federal system...
112,Justin Trudeau,.@BobRae48 &amp; I sat down with Aung San Suu Kyi in Da Nang to express Canada’s concern for the Rohingya refugees &amp; th… https://t.co/DjTX37estO
113,Donald J. Trump,The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial co… https://t.co/6hY41gFM5i
114,Donald J. Trump,NoKo has interpreted America's past restraint as weakness. This would be a fatal miscalculation. Do not underestima… https://t.co/3ZqTpo7GrT
115,Donald J. Trump,"Together, we will Make America Great Again!
#AmericaFirst🇺🇸 https://t.co/ajiC3flNkI"
116,Donald J. Trump,"""Senator Chuck Schumer helping to import Europes problems"" said Col.Tony Shaffer. We will stop this craziness!  @foxandfriends"
117,Justin Trudeau,RT @Carolyn_Bennett: .@ITK_CanadaInuit &amp; others say solutions for robust Arctic are in the North. We agree! WATCH: https://t.co/u1wuB719vn…
118,Justin Trudeau,"@SeamusORegan Nous pensons à toi, @SeamusORegan! Prompt rétablissement, mon ami."
119,Justin Trudeau,Voici le sommaire de ma rencontre avec les Premières Nations autogouvernantes et signataires de traités modernes :… https://t.co/VA4Mh3mS6R
120,Donald J. Trump,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so… https://t.co/PmsWNkH4r4"
121,Donald J. Trump,"U.S. COAL PRODUCTION
Up📈7.8% past year. 
Down📉31.5% last 10 years. 
#EndingWarOnCoal https://t.co/xr20OBb2DV"
122,Donald J. Trump,"In more and more places throughout this region, citizens of SOVEREIGN and INDEPENDENT nations have taken greater co… https://t.co/RoZxYEdh9m"
123,Justin Trudeau,"RT @PattyHajdu: Se pencher sur la prévention, augmenter la sensibilisation et accroitre le support amélioreront la sécurité des Canadiens a…"
124,Justin Trudeau,"Every child deserves the best start in life, that’s why Canada is helping mothers around the world get access to qu… https://t.co/BBXbsoPeon"
125,Donald J. Trump,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!
126,Donald J. Trump,"I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing...."
127,Justin Trudeau,"J’ai également discuté avec Nguyễn Thị Kim Ngân, présidente de l’Assemblée nationale, pour parler de la promotion d… https://t.co/rX2cMAfisM"
128,Justin Trudeau,On annonce 4 élections partielles ! Voyez où elles auront lieu : https://t.co/TmMmDBudnW
129,Donald J. Trump,Just spoke to President Macri of Argentina about the five proud and wonderful men killed in the West Side terror attack. God be with them!
130,Justin Trudeau,Heureux 150e anniversaire à Marie Curie! Découvrez la vie et l’œuvre de cette pionnière. #FemmesEnSTIM https://t.co/K4LTAsYz6F
131,Justin Trudeau,Jour 2 au Vietnam ! Ouverture de la bourse à Hô Chi Minh-Ville. https://t.co/KsYVEofrsv
132,Donald J. Trump,The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!
133,Donald J. Trump,Do not underestimate the UNITY within the Republican Party!
134,Donald J. Trump,"Today, it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the… https://t.co/32kLFYbbuq"
135,Donald J. Trump,“Statement by President Trump on the Apprehension of Mustafa al-Imam for His Alleged Role in Benghazi Attacks” https://t.co/2U7WJmfGlM
136,Justin Trudeau,"Chaque enfant mérite le meilleur départ qui soit dans la vie, alors le Canada aide des mamans à travers le monde à… https://t.co/vxs8FthDDH"
137,Donald J. Trump,"It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷… https://t.co/QJtVR498yK"
138,Donald J. Trump,While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!
139,Donald J. Trump,"Excited to be heading home to see the House pass a GREAT Tax Bill with the middle class getting big TAX CUTS!

#MakeAmericaGreatAgain🇺🇸"
140,Justin Trudeau,"RT @KirstyDuncanMP: Il est important de comprendre comment les effets d’un climat en changement affectent l’Arctique. Aujourd’hui, @cathmck…"
141,Justin Trudeau,"Sitting down with Prime Minister @jacindaardern for our first meeting in person, talking trade, climate change, and… https://t.co/Eewoqktbnj"
142,Justin Trudeau,It was great to see President @EPN at #APEC2017 – we took some time to talk about trade and how we can work togethe… https://t.co/jGYNQlPNiM
143,Donald J. Trump,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business &amp; JOBS"
144,Donald J. Trump,"RT @AbeShinzo: トランプ大統領による、初の、歴史的な日本訪問は、間違いなく、日米同盟の揺るぎない絆を世界に示すことができました。

本当にありがとう、ドナルド。そして、アジア歴訪の大成功をお祈りしています。

@realDonaldTrump https://t.…"
145,Donald J. Trump,"Join me LIVE in South Korea🇺🇸🇰🇷
#NationalAssembly #POTUSinAsia 
➡️https://t.co/M3iEhPdkas https://t.co/hSxdtd2UnY"
146,Justin Trudeau,Roundtable with business leaders - talking about how trade will create more jobs &amp; opportunities for people in Cana… https://t.co/5CgzX2ZW2k
147,Justin Trudeau,Nos pensées accompagnent @DenisLemieuxLib. Merci d’avoir servi la population de Chicoutimi—Le Fjord. Vous allez nous manquer.
148,Donald J. Trump,Thank you to all Americans who participated in Nat'l Rx Drug Take Back Day. A record amount of drugs collected &amp; disposed. We can do this!
149,Donald J. Trump,Thank you @FLGovScott. https://t.co/rgdU9plvFK
150,Donald J. Trump,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x"
151,Justin Trudeau,RT @NationalDefence: The Importance of Remembrance #CanadaRemembers https://t.co/QrLVXDfMig
152,Justin Trudeau,RT @MarcMillerVM: J'ai pris un moment pour dire quelques mots en Kanien'kéha pour honorer les autochtones qui sont tombés au combat. Souven…
153,Justin Trudeau,"We had a good first meeting today, talking trade and how we can work together to create more jobs &amp; opportunities f… https://t.co/fMeaAw9Bon"
154,Justin Trudeau,"@SeamusORegan We’re all thinking of you, @SeamusORegan! Get well soon, my friend."
155,Donald J. Trump,Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendsh… https://t.co/2IdSIlE3Ek
156,Justin Trudeau,RT @googlecanada: Watch tmw: @JustinTrudeau discusses Canada’s role in the world of A.I. with @ericschmidt at #GoNorth17 via @nytimes https…
157,Justin Trudeau,"RT @CanadianForces: Today and every day, #CanadaRemembers. Join us in honouring past and current #CAF members. #RemembranceDay #LestWeForge…"
158,Donald J. Trump,"President Xi, thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸… https://t.co/Jbj5TWhCla"
159,Justin Trudeau,I'll always be grateful for George Gosbee's work on our advisory council during our time in opposition. Calgary has… https://t.co/ZihaF8eVoE
160,Justin Trudeau,"Bonne rencontre avec la directrice des opérations de Facebook, @sherylsandberg, sur l’innovation canadienne axée su… https://t.co/V8gi3Zhz4H"
161,Donald J. Trump,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!"
162,Donald J. Trump,"“President Donald J. Trump Proclaims October 24, 2017, as United Nations Day” Read more: https://t.co/cyRAQAKhy2 https://t.co/HVD0kLYlBk"
163,Justin Trudeau,"Aujourd’hui, nous rendons hommage à ceux qui ont tant enduré et tant sacrifié pour nous tous. https://t.co/R5RumFVwXu"
164,Justin Trudeau,"@Val_Plante Et félicitations à Régis Labeaume – réélu maire de Québec. On se revoit bientôt, j’espère."
165,Justin Trudeau,RT @VNXAllshares: 🎉🎆Listed Companies on Hochiminh Stock Exchange should be ready on increasing trade &amp; fintech with Canadian partners 🍁🍁&amp; s…
166,Donald J. Trump,"Together, we dream of a Korea that is free, a peninsula that is safe, and families that are reunited once again! https://t.co/9tsZRCC83j"
167,Donald J. Trump,We mourn the horrifying terrorist attack in NYC. All of America is praying and grieving for the families who lost t… https://t.co/gnCvusZ0Ud
168,Justin Trudeau,Announcing 4 by-elections! Get the details: https://t.co/15PNFkmoE0
169,Justin Trudeau,"RT @DrRobbieO: MWO Lemay &amp; Lt(N) Tremblay, old comrades from my military career were in #Parliament being honoured for their sele… https://…"
170,Donald J. Trump,#NYCStrong #USA🇺🇸 https://t.co/6K3Xw5P87d
171,Justin Trudeau,Prochain arrêt : Da Nang pour l’#APEC2017. Voici un résumé de ma visite jusqu’à maintenant : https://t.co/zzJlktn655
172,Donald J. Trump,Will be another Sean success! https://t.co/SlNTENvJLA
173,Donald J. Trump,"The meeting with Republican Senators yesterday, outside of Flake and Corker, was a love fest with standing ovations and great ideas for USA!"
174,Justin Trudeau,Comment bâtir un pays et un avenir meilleurs pour nos enfants ? La réponse est simple : en investissant dans les Ca… https://t.co/3BopqTiWUP
175,Donald J. Trump,RT @IvankaTrump: We're working to make tax cuts &amp; the expanded Child Tax Credit a reality for American families. The time is now! #TaxRefor…
176,Donald J. Trump,"Thank you to the GREAT NYPD, First Responders and all govt officials for having handled the terrible West Side atta… https://t.co/wcjWahjCHF"
177,Donald J. Trump,So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.
178,Donald J. Trump,"NYC terrorist was happy as he asked to hang ISIS flag in his hospital room. He killed 8 people, badly injured 12. SHOULD GET DEATH PENALTY!"
179,Donald J. Trump,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF"
180,Donald J. Trump,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!"
181,Justin Trudeau,RT @NavdeepSBains: L'innovation en action ! Les entreprises canadiennes et indiennes se sont rencontrées ce soir pour explorer les possibil…
182,Donald J. Trump,Anyone who doubts the strength or determination of the U.S. should look to our past....and you will doubt it no lon… https://t.co/n1Dc7xNmcg
183,Donald J. Trump,"Happy Birthday @TheLeeGreenwood!
#FlashbackFriday https://t.co/MCrMK6Eurm"
184,Donald J. Trump,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!
185,Donald J. Trump,I hope people will start to focus on our Massive Tax Cuts for Business (jobs) and the Middle Class (in addition to Democrat corruption)!
186,Justin Trudeau,"We’re on our way to Hanoi... to start a busy week in Vietnam &amp; the Philippines focused on APEC, trade and advancing human rights."
187,Justin Trudeau,RT @CanadianPM: Watch live: PM Justin Trudeau marks the 150th anniversary of the first sitting of the House of Commons. #cdnpoli https://t.…
188,Donald J. Trump,Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a
189,Donald J. Trump,"...Based on that, the Military has hit ISIS ""much harder"" over the last two days. They will pay a big price for every attack on us!"
190,Justin Trudeau,On parle des emplois et des possibilités liés à l’IA avec des leaders technologiques à #GoNorth17. Merci de vos idé… https://t.co/1OiD3ea7IY
191,Donald J. Trump,"WORKING TOGETHER, we will defeat this #OpioidEpidemic &amp; free our nation from the terrible affliction of drug abuse.… https://t.co/Mw8xZxOEUn"
192,Donald J. Trump,"People are anxiously awaiting my decision as to who the next head of the Fed will be....
🎥https://t.co/PEj1KNYcAO"
193,Donald J. Trump,"Jeff Flake, with an 18% approval rating in Arizona, said ""a lot of my colleagues have spoken out."" Really, they just gave me a standing O!"
194,Justin Trudeau,Tragic news from Iran and Iraq today. Canadians offer their deepest sympathies to the families affected by the earthquake in the region.
195,Justin Trudeau,"RT @SeamusORegan: 100 years ago today marks the end of one of our deadliest battles: Passchendaele.

We remember and honour their incredibl…"
196,Justin Trudeau,"RT @SeamusORegan: Aujourd’hui, il y a 100 ans, de terminait une de nos batailles les plus sanglantes: Passchendaele. 

Nous nous souvenons…"
197,Justin Trudeau,"Nous sommes axés sur une série d’enjeux, notamment le commerce et les droits de la personne. Merci au président Trầ… https://t.co/CSpVKkxlIG"
198,Donald J. Trump,The United States will be immediately implementing much tougher Extreme Vetting Procedures. The safety of our citizens comes first!
199,Donald J. Trump,"Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill"
200,Donald J. Trump,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!"
201,Justin Trudeau,Félicitations Georges! Like you never left. You've made us proud once again. 🇨🇦 https://t.co/eK1GA5w2og
202,Donald J. Trump,Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..
203,Donald J. Trump,"Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw"
204,Justin Trudeau,"RT @CQualtro: Congrats @amazonca on your Vancouver expansion project
&amp; the creation of 1000 new jobs. The kind of jobs that our communities…"
205,Donald J. Trump,Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral Co… https://t.co/cKVtPvEHOB
206,Donald J. Trump,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp; Justice Dept."
